band 1,band 2,band 3,band 4,band 5,band 6,class_name
"28","26","31","44","63","65",Built-Up
"26","26","36","43","55","49",Built-Up
"23","23","30","37","55","49",Built-Up
"27","21","24","35","63","65",Built-Up
"31","24","25","39","63","65",Built-Up
"31","27","30","49","66","58",Built-Up
"27","27","36","42","54","54",Built-Up
"23","22","28","35","54","54",Built-Up
"32","22","24","39","71","79",Built-Up
"36","31","29","47","71","79",Built-Up
"34","36","43","58","72","65",Built-Up
"28","29","37","45","58","51",Built-Up
"27","27","35","41","54","54",Built-Up
"23","22","27","33","54","54",Built-Up
"28","23","27","39","71","79",Built-Up
"30","25","26","41","71","79",Built-Up
"28","29","37","42","57","52",Built-Up
"26","27","33","38","52","51",Built-Up
"26","24","27","33","52","51",Built-Up
"27","28","38","46","57","52",Built-Up
"28","29","35","42","57","52",Built-Up
"27","27","33","39","52","51",Built-Up
"31","29","32","40","52","51",Built-Up
"29","30","38","43","59","55",Built-Up
"28","29","34","41","59","55",Built-Up
"26","27","32","44","52","49",Built-Up
"28","29","33","41","52","49",Built-Up
"31","31","34","39","50","49",Built-Up
"32","34","38","41","50","49",Built-Up
"35","35","40","50","59","55",Built-Up
"31","31","34","44","59","55",Built-Up
"26","25","31","48","52","49",Built-Up
"26","25","26","36","52","49",Built-Up
"26","24","25","29","50","49",Built-Up
"29","28","31","34","50","49",Built-Up
"35","36","38","44","63","56",Built-Up
"35","36","40","48","59","53",Built-Up
"29","30","34","44","59","53",Built-Up
"27","27","35","46","55","51",Built-Up
"29","24","26","38","55","51",Built-Up
"27","26","28","35","53","48",Built-Up
"32","31","34","50","63","56",Built-Up
"33","33","36","44","59","53",Built-Up
"27","26","34","42","59","53",Built-Up
"28","28","37","44","55","51",Built-Up
"28","26","33","42","55","51",Built-Up
"29","29","37","44","53","48",Built-Up
"25","24","27","42","56","52",Built-Up
"26","26","33","42","56","52",Built-Up
"26","26","36","43","58","57",Built-Up
"26","26","36","41","58","57",Built-Up
"24","22","23","35","56","52",Built-Up
"29","29","37","44","56","52",Built-Up
"27","28","38","45","58","57",Built-Up
"25","25","35","43","58","57",Built-Up
"28","27","35","41","57","56",Built-Up
"28","29","36","44","56","51",Built-Up
